,originalSkill,esco_label,esco_prob,esco_uri
24,Ø±Ù\x88Ø§Ù\x8aØ© Ù\x82ØµØµ Ø§Ù\x84Ø¨Ù\x8aØ§Ù\x86Ø§Øª,Danish,0.46894848346710205,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1
25,History of Race and Racism,cultural history,0.5583323836326599,http://data.europa.eu/esco/skill/d51ca82a-1a70-449d-91b3-9465f7ba905c
26,Ø§Ù\x84Ø±Ù\x8aØ§Ø¯Ø© Ù\x88Ù\x85Ù\x88Ø§Ù\x83Ø¨Ø© Ø§Ù\x84Ø«Ù\x88Ø±Ø© Ø§Ù\x84ØµÙ\x86Ø§Ø¹Ù\x8aØ© Ø§Ù\x84Ø±Ø§Ø¨Ø¹Ø©,write Danish,0.43720632791519165,http://data.europa.eu/esco/skill/42b7c03a-3ed5-4dc1-adc0-ff1fb8d4d697
27,Mobile Devices,mobile device management,0.7544505000114441,http://data.europa.eu/esco/skill/cf532795-a1fd-43bd-8407-6e43f877e6e3
28,Recruiting,recruit personnel,0.8032886385917664,http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647
29,Wxpython,Python (computer programming),0.4844350218772888,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d
30,Tailoring communications,develop communications strategies,0.7284815311431885,http://data.europa.eu/esco/skill/3c834f6e-523a-49ee-8ed1-e073e28ae6fe
31,Contributin-margin accounting,accounting,0.5879015922546387,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b
32,Acute Rhinosinusitis,acute care,0.473003089427948,http://data.europa.eu/esco/skill/9b9244b4-6f62-4834-839b-19e9eba0a407
33,Natural Language Processing,natural language processing,1.000000238418579,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a
34,Performance Problem (Organizational Development),assess the work during the performance,0.6312849521636963,http://data.europa.eu/esco/skill/57944e78-56c1-4272-b008-c63b0cc9e500
35,Teto de vidro,pour terrazzo,0.47040724754333496,http://data.europa.eu/esco/skill/8fc92631-d3f0-474a-bdbc-0933d4d9bdec
36,atmospheric science,aviation meteorology,0.682657778263092,http://data.europa.eu/esco/skill/b80b624d-8fa5-4a88-a12f-9d56880eddef
37,Instructional Design,instructional design models,0.8689926266670227,http://data.europa.eu/esco/skill/e3145bd7-7f35-44ec-a5dc-4417c5c9ab9a
38,(Financial Investments) Ù\x85Ø¹Ø±Ù\x81Ø© Ø§Ù\x84Ø·Ø±Ù\x82 Ø§Ù\x84Ù\x85Ø\xadØ§Ø³Ø¨Ù\x8aØ© Ø§Ù\x84Ù\x85Ø³ØªØ®Ø¯Ù\x85Ø© Ù\x84ØªØ³Ø¬Ù\x8aÙ\x84,explain financial jargon,0.5314633846282959,http://data.europa.eu/esco/skill/0f5bd097-ed76-47f7-8f44-93be67967b5f
39,Minimum Viable Product (MVP),perform product planning,0.5046816468238831,http://data.europa.eu/esco/skill/d15ba5cb-9212-4a90-85af-2c560da59925
40,Bayesian Network,machine learning,0.4511384665966034,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
41,Gibbs Sampling,collect samples,0.39144790172576904,http://data.europa.eu/esco/skill/17fa2e6a-ca80-4d60-afb0-03f170e9d5f3
42,Sustainability Reporting & ESG Metrics,global standards for sustainability reporting,0.6999562978744507,http://data.europa.eu/esco/skill/4300b453-9bcf-474c-9ee3-92ec2229720c
43,job intelligence,business intelligence,0.6245635747909546,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c
44,Identificar los errores mÃ¡s frecuentes al aprender matemÃ¡ticas,understand written Spanish,0.4319021701812744,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89
45,Sketch,SketchBook Pro,0.7315073013305664,http://data.europa.eu/esco/skill/85038d57-1fdd-40de-b908-2c005545a8c3
46,basic statistics,statistics,0.8727932572364807,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
47,Image Restoration,document restoration,0.6423848271369934,http://data.europa.eu/esco/skill/91571a67-f9e1-4c5b-80c5-43f3d14a3747
48,work management,manage work,0.8792456388473511,http://data.europa.eu/esco/skill/56a2fa94-a66d-40c6-a444-35888cdefa60
49,Autoconocimiento,use automatic programming,0.430183082818985,http://data.europa.eu/esco/skill/7d10fcb2-b368-48ab-996b-7c9fafcf68ed
50,Aprendizado de MÃ¡quina,Spanish,0.556447446346283,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7
51,Portofolio Kerja,manage licensee portofolio,0.5379480719566345,http://data.europa.eu/esco/skill/6766e2e3-425b-4c6b-963d-82f9b2846e21
52,Custom Loss Functions,sell weight loss products,0.33360764384269714,http://data.europa.eu/esco/skill/715aabf1-6663-488d-9984-4336ba8c3661
53,Work with User-Defined Function (UDF) in Azure databricks,SPARK,0.2594507336616516,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f
54,natural language entity extraction,information extraction,0.7249348163604736,http://data.europa.eu/esco/skill/696e3b5b-8b61-45af-ae4c-3ab700f197ec
55,Manejo de datos asociados a procesos,bioeconomy,0.3499146103858948,http://data.europa.eu/esco/skill/609d6bb4-db16-4578-87fc-57b11a701cc2
56,MetaMask client,Metasploit,0.46487659215927124,http://data.europa.eu/esco/skill/50597e96-9b6a-4736-ac79-dd80f36c0269
57,Access Control,use access control software,0.8905009031295776,http://data.europa.eu/esco/skill/5da73370-f6b9-417d-a94c-09bf01f84aa2
58,appreciate richness of Shakespearean language,analyse theatre texts,0.4722215235233307,http://data.europa.eu/esco/skill/22cbb90f-0bf1-4c30-98c0-7c9749b4e08d
59,Ø§Ù\x84Ø£Ø³Ø§Ù\x84Ù\x8aØ¨ Ø§Ù\x84Ø£Ø®Ù\x84Ø§Ù\x82Ù\x8aØ©,Danish,0.46484124660491943,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1
60,accounting software,use accounting systems,0.7888542413711548,http://data.europa.eu/esco/skill/a0d79341-8398-4019-ad1b-27888ec35aaa
61,Hardware Design,design hardware,0.9509471654891968,http://data.europa.eu/esco/skill/bee296bc-48f7-4df6-bd2c-8616c8a6c8de
62,Surgery,surgery,1.0,http://data.europa.eu/esco/skill/508f3b4c-799a-4742-b3ae-75f2ff11153d
63,Wireshark,Wireshark,1.0,http://data.europa.eu/esco/skill/8fa510d0-a8a6-4932-a361-00f8442cfe23
64,gestÃ£o de riscos,Portuguese,0.4579160213470459,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7
65,Sensor architecture,sensors,0.7491177916526794,http://data.europa.eu/esco/skill/70a7b3b3-31ef-4b29-a30f-bb7299dff39b
66,Project Charter,develop travel charter programme,0.6061520576477051,http://data.europa.eu/esco/skill/77d91dbf-04af-48e3-8a0e-89651511315a
67,Queuing Analysis,process booking,0.5288942456245422,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333
68,Data Compression,data storage,0.5908070802688599,http://data.europa.eu/esco/skill/a7f0fbe0-c546-4f30-8e41-34a58c64567e
69,Paper Prototyping,Prototyping development,0.7033876776695251,http://data.europa.eu/esco/skill/ed1d8bd4-cd2a-4c64-b665-56d70651026c
70,Compiler,C++,0.6840322017669678,http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f
71,System Testing,manage system testing,0.7919785380363464,http://data.europa.eu/esco/skill/ce354460-500e-4eaa-8e95-8f243fcea3db
72,Earnings Management,accounting,0.6623843312263489,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b
73,Durability (ACID),check durability of materials,0.6099721193313599,http://data.europa.eu/esco/skill/53e5fa5a-b619-42d9-9993-b005e4291a7a
74,Energy Policy,develop energy policy,0.9168808460235596,http://data.europa.eu/esco/skill/c4e9f0d0-bbdd-42d7-83a5-2c131f6d67c2
75,Workflow,manage workflow processes,0.6841176748275757,http://data.europa.eu/esco/skill/7add3681-17b6-4027-8a9d-ee92d2b96a42
76,Import-Export,set import export strategies,0.7155958414077759,http://data.europa.eu/esco/skill/363e30cf-b3ec-4b3f-b02c-ac77a5902d15
77,Inclusive Innovation,develop inclusive communication material,0.6281934976577759,http://data.europa.eu/esco/skill/5bac4bcc-1846-4688-ba02-ad2b51544282
78,Work with large amounts of data from multiple sources in different raw formats.,"data extraction, transformation and loading tools",0.5195907950401306,http://data.europa.eu/esco/skill/9d0d89be-bffa-4393-b6f6-8d05bea49051
79,Tecnologias digitais emergentes,digitise documents,0.42673182487487793,http://data.europa.eu/esco/skill/367c240d-5f34-423a-86b1-866ad27206ea
80,Cost-center accounting,perform cost accounting activities,0.7024508714675903,http://data.europa.eu/esco/skill/c5b90c0c-3af0-4c8c-a06c-cc3ced02242c
81,Kalkulationstabelle,KDevelop,0.48428875207901,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05
82,Map,read maps,0.7652488350868225,http://data.europa.eu/esco/skill/3172f001-a4dd-4e7e-9f74-9707b2e7c6e1
83,Photovoltaic System Design,install photovoltaic systems,0.7802908420562744,http://data.europa.eu/esco/skill/18d3f89a-6ac5-4ca6-bf93-0baec4e13bcd
84,virtualization,perform virtual simulation ,0.6584161520004272,http://data.europa.eu/esco/skill/b9e451f5-a62f-4a16-a229-255fa5c222a5
85,AnÃ¡lise de segmentaÃ§Ã£o,understand written Spanish,0.3798602223396301,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89
86,Diagnosticar a pacientes,interpret findings from medical examinations,0.590057373046875,http://data.europa.eu/esco/skill/88323c78-204d-4b96-81ad-6b52add135c0
87,Using Puppet,develop puppet shows,0.6687852144241333,http://data.europa.eu/esco/skill/b3f7446b-01b6-4fd4-b7dd-b89e6110288d
88,Cancer Genetics,medical genetics,0.6433975696563721,http://data.europa.eu/esco/skill/d6ed2572-96be-483f-863b-d8a3c19255ea
89,Karriereentwicklung,KDevelop,0.5128567218780518,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05
90,Learn to use the Wolfram Language to do common statistical tests,develop statistical software,0.6084098815917969,http://data.europa.eu/esco/skill/bb165899-d95f-4433-95f2-173fefd716d2
91,Databases on Oracle Cloud and their applications,Oracle Relational Database,0.6670121550559998,http://data.europa.eu/esco/skill/de9f85ba-e77f-48fd-8c66-f5ebaf32d655
92,Ø§Ù\x84ØªØ¹Ø§Ù\x85Ù\x84 Ù\x85Ø¹ Ø±Ø³Ø§Ø¦Ù\x84 Ø§Ù\x84Ø¨Ø±Ù\x8aØ¯ Ø§Ù\x84Ø¥Ù\x84Ù\x83ØªØ±Ù\x88Ù\x86Ù\x8a,write Danish,0.416382372379303,http://data.europa.eu/esco/skill/42b7c03a-3ed5-4dc1-adc0-ff1fb8d4d697
93,Practice sifting complex factual information to identify important features and trends,develop solutions to information issues,0.5326156616210938,http://data.europa.eu/esco/skill/4539aeca-b56f-4d03-ba86-8f675a7f2536
94,Fft Algorithms,algorithms,0.5595810413360596,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38
95,Ù\x85Ø¨Ø§Ø¯Ø¦ Ø§Ù\x82ØªØµØ§Ø¯,Danish,0.4902970492839813,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1
96,Tests de la facilitÃ© dâ\x80\x99utilisation,test procedures,0.46953871846199036,http://data.europa.eu/esco/skill/d512d178-37a6-4eab-a660-412d2bb0824a
97,Cuidado del medio ambiente.,Edmodo,0.3996243476867676,http://data.europa.eu/esco/skill/17702c40-e963-4593-847e-a332b1c9357e
98,Cost-type accounting,perform cost accounting activities,0.8063096404075623,http://data.europa.eu/esco/skill/c5b90c0c-3af0-4c8c-a06c-cc3ced02242c
99,Linearity,grammar,0.3878408670425415,http://data.europa.eu/esco/skill/d4ae9564-0b61-4aa0-9df0-d4fdc969fd6f
100,inteligencia,think analytically,0.47522667050361633,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137
101,Interactive Visualization,deliver visual presentation of data,0.6431522369384766,http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389
102,Open Web Application Security Project (OWASP),web application security threats,0.6103618741035461,http://data.europa.eu/esco/skill/902fb91c-3113-4004-9b4f-79aa86b638b7
103,network defensive tactics,attack vectors,0.5569460988044739,http://data.europa.eu/esco/skill/501537a7-9d63-491d-ae02-09f04767ff1e
104,"""SÃ©curitÃ© de laccÃ¨s au rÃ©seau""",select lacquer ingredients,0.4212757349014282,http://data.europa.eu/esco/skill/81a0ab17-190e-4838-a9e7-c895a28c3ddc
105,Feature Engineering,demonstrate products' features,0.529522180557251,http://data.europa.eu/esco/skill/de7b8c6c-9ed4-4776-924c-4265dd1d9cde
106,Desarrollo de pensamiento creativo,concretise artistic concept,0.455227792263031,http://data.europa.eu/esco/skill/3812bbb9-4053-4685-aed5-af825d809501
107,Natural Language Toolkit (NLTK),natural language processing,0.5735315084457397,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a
108,Simulated Environments,run simulations,0.6663673520088196,http://data.europa.eu/esco/skill/a432ffcd-b58d-4417-836c-ea3282b626ca
109,Logiciel Tableau,use logic programming,0.5014250874519348,http://data.europa.eu/esco/skill/2c4e11ef-da18-4e19-816b-e6bc19e12424
110,recognizing energy injustice,identify energy needs,0.5963989496231079,http://data.europa.eu/esco/skill/96d901a6-c931-4e8d-b685-a47e1deaaa1b
111,Distinguish the principles of innovation and explain innovation management,innovation processes,0.6534960865974426,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68
112,Color Theory,determine colour shades,0.6725107431411743,http://data.europa.eu/esco/skill/d13ec79c-ed13-4f4a-bed7-850f3fec57ef
113,Learning How To Learn,use learning strategies,0.6913774609565735,http://data.europa.eu/esco/skill/a44c0ed6-68b1-457a-9c6d-ea8487bdfeb2
114,GestÃ£o de carreiras,Portuguese,0.5741630792617798,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7
115,Understand and manage models for panel data,data models,0.5274308323860168,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5
116,Flowcharts and Decision Making,create flowchart diagram,0.7342085838317871,http://data.europa.eu/esco/skill/901105f8-3a08-453e-b1dc-23619e317fd3
117,Cost-Based Pricing,pricing strategies,0.7846546769142151,http://data.europa.eu/esco/skill/1c460d2d-90c6-4fc9-ad49-febb6e15605a
118,Gender Based Analysis,gender studies,0.7868134379386902,http://data.europa.eu/esco/skill/e24377fb-020b-4430-8bed-86dd539bbf3a
119,Social Media Branding,social media marketing techniques,0.6837910413742065,http://data.europa.eu/esco/skill/509909a2-4a8f-4ead-8ad0-968df63b77cc
120,Ã\x81gil,SA8000,0.3749186396598816,http://data.europa.eu/esco/skill/13e3ad0e-7e5b-4499-885a-5f7dbfe3fc03
121,Compensation Analysis,calculate compensation payments,0.7539522647857666,http://data.europa.eu/esco/skill/99474c7c-7096-4ff9-9e87-03db28727b00
122,Model Registries,create data models,0.5568302869796753,http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779
123,Redux,Unreal Engine,0.39356207847595215,http://data.europa.eu/esco/skill/b04c4965-4fd7-4dfa-a8d4-0cec5c5f5d0c
124,Recruitment,recruit personnel,0.8405492901802063,http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647
125,Use Advanced Threat Protection to proactively monitor your system.,monitor security measures,0.5970298051834106,http://data.europa.eu/esco/skill/f6100198-9398-4c31-9003-d976c37d5022
126,RecuperaciÃ³n de proyectos en crisis,crisis intervention,0.5800231099128723,http://data.europa.eu/esco/skill/8e261d1c-12c0-498e-bfc2-ec0c16496c68
127,Cancer Epigenetics,cancer risks,0.49584048986434937,http://data.europa.eu/esco/skill/99550622-4c7f-4bba-884b-d4b03dbaf91d
128,Bonding curves,green bonds,0.4898744225502014,http://data.europa.eu/esco/skill/86f0bb12-6491-4be7-8306-c88900e91a63
129,2 3 tree,plant trees,0.5830950736999512,http://data.europa.eu/esco/skill/a281365c-a432-4e82-97ce-2dcc4907685f
130,Health governance and management,manage healthcare staff,0.5724199414253235,http://data.europa.eu/esco/skill/add39442-b8ca-4412-8156-391db53b0c5d
131,AdministraciÃ³n de procesos,maintain professional administration,0.5613821148872375,http://data.europa.eu/esco/skill/8ebb2c0a-0baa-43bf-95cf-094047c57427
132,Western United States (US),geography,0.3865639567375183,http://data.europa.eu/esco/skill/cf9c8e73-105d-419e-86dd-4304cc6cd718
133,Applied Creativity,stimulate creative processes,0.6899279356002808,http://data.europa.eu/esco/skill/d97c894e-d330-4bd3-b8ba-138fc11855ee
134,Use qualitative and quantitative research methodologies,conduct qualitative research,0.7660222053527832,http://data.europa.eu/esco/skill/fa465db3-56e8-4b5d-a781-e2a313a4ed2d
135,Desenvolvimento da estratÃ©gia de marketing,marketing management,0.6079967617988586,http://data.europa.eu/esco/skill/5bbaa0e6-0fd7-4df2-9db7-34f78b40dc34
136,Android Version History,computer history,0.48305046558380127,http://data.europa.eu/esco/skill/2ef6bebc-2133-47df-b26a-f38f51b0f867
137,Disease Surveillance,perform screening for infectious diseases,0.661808967590332,http://data.europa.eu/esco/skill/78bac337-ed76-45b6-bd7f-621841c997c4
138,Collaborative Working Environment,cooperate with colleagues,0.6248182058334351,http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c
139,saving money,count money,0.5056051015853882,http://data.europa.eu/esco/skill/42cad89f-afd4-4418-8439-8ce87eff1f26
140,Visual Arts,fine arts,0.7191460132598877,http://data.europa.eu/esco/skill/17996b4f-1302-4bd7-a4c7-912b74feccf0
141,explainable machine learning models,machine learning,0.5698082447052002,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
142,Pesquisa do UsuÃ¡rio,write Spanish,0.4808313250541687,http://data.europa.eu/esco/skill/cec6cd92-d709-42cc-9a6e-6a7dd48b9e08
143,conferencing,confer with event staff,0.6232413649559021,http://data.europa.eu/esco/skill/43858b92-51d2-4e9d-9d92-a694924add4d
144,Test de facilitÃ© dâ\x80\x99utilisation,test procedures,0.4875749349594116,http://data.europa.eu/esco/skill/d512d178-37a6-4eab-a660-412d2bb0824a
145,Corpora,linguistics,0.5332014560699463,http://data.europa.eu/esco/skill/810df100-e85a-4c13-b619-34030a75ecc2
146,GANs Alternatives,develop an artistic network,0.38004857301712036,http://data.europa.eu/esco/skill/fbce0748-1e9e-4ac6-b7e9-37901bd9b27b
147,Describe types of non-relational and NoSQL databases,NoSQL,0.7025848627090454,http://data.europa.eu/esco/skill/76ef6ed3-1658-4a1a-9593-204d799c6d0c
148,Traffic Analysis,study traffic flow,0.8245512247085571,http://data.europa.eu/esco/skill/969caeb0-cfc5-42aa-9c44-0ca3c09305fe
149,Priority Queue,adjust priorities,0.5778836011886597,http://data.europa.eu/esco/skill/c54b03a9-fe20-42af-9e8a-f8896af4a4f9
150,Connected Planning,urban planning,0.6922322511672974,http://data.europa.eu/esco/skill/7f18039d-dfae-471b-9daa-507f6b2d2842
151,Statistical Data,statistics,0.7698739171028137,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
152,Entscheidungsfindung,outplacement,0.3518664240837097,http://data.europa.eu/esco/skill/57c3021c-defc-4a39-b60b-95db8af25c3a
153,Softcore Processor Design,construct cores,0.5788342952728271,http://data.europa.eu/esco/skill/b5604dbf-cf22-46d9-b416-88b38d84e0f1
154,market insights,market analysis,0.7938830852508545,http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a
155,Ø§Ù\x84Ø°Ù\x83Ø§Ø¡ Ø§Ù\x84Ø¹Ø§Ø·Ù\x81Ù\x8a,Danish,0.4551066756248474,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1
156,information ethics,ethics,0.6954232454299927,http://data.europa.eu/esco/skill/cef5c0f8-1e40-4c09-b6a7-aa7811849e5d
157,RF Circuit Design,design integrated circuits,0.5367625951766968,http://data.europa.eu/esco/skill/6d12ac9b-5ec0-49b9-bd70-5a19352585cb
158,Cover Letters,typography,0.49959588050842285,http://data.europa.eu/esco/skill/080a3bf6-c8e8-481e-b97e-8fbc964ebab7
159,Communications Protocol,ICT communications protocols,0.7961117029190063,http://data.europa.eu/esco/skill/6e4f75b4-c60f-4623-a9ba-760c8245753b
160,Technical PM Interview,interview people,0.5707266330718994,http://data.europa.eu/esco/skill/66d47084-9437-48b2-819b-c4c8214ed650
161,Payments,process payments,0.8014902472496033,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23
162,Confidence,show confidence,0.8647078275680542,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d
163,C/C++,C++,0.8914968967437744,http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f
164,Human Resources Best Practices,manage human resources,0.7914758920669556,http://data.europa.eu/esco/skill/279a4b1d-21df-4d78-9f4d-324c73fd7536
165,Humanâ\x80\x93Computer Interaction,human-computer interaction,0.5584055185317993,http://data.europa.eu/esco/skill/9136cbf1-7916-4f1c-bc9a-0318ee1d6016
166,Cloud Hosting,manage cloud data and storage,0.6336057782173157,http://data.europa.eu/esco/skill/d3286405-49f8-4e8a-8046-a4376b4e7963
167,Long Short Term Memory (LSTM),memorise large amounts of information,0.4918716251850128,http://data.europa.eu/esco/skill/9b4cc066-7df9-40a5-a819-c330e71b2a69
168,Exchange Traded Funds (ETFs),establish investment funds,0.48791927099227905,http://data.europa.eu/esco/skill/d9670203-6f1c-45dd-9649-b86ab8dfee57
169,3D Fashion Design,analyse clothing 3d prototypes,0.7467800378799438,http://data.europa.eu/esco/skill/87f31087-4c7c-4a71-b7b8-4039d94b4c12
170,Build chatbot solutions for businesses,use internet chat,0.4549715518951416,http://data.europa.eu/esco/skill/fef18610-c8ca-431b-9ca8-d3d0cdffde72
171,Intelligent Systems,control systems,0.6113193035125732,http://data.europa.eu/esco/skill/4ff549c3-daa5-4def-9916-301c7bdf13b8
172,Amazon Elastic Compute Cloud (Amazon EC2),plan migration to cloud,0.5183615684509277,http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1
173,Cross-Site Scripting Forgery (CSRF),investigate forgery cases,0.4480222463607788,http://data.europa.eu/esco/skill/34b61e03-4f55-4308-ac11-fda7566badf4
174,Identificar os desafios do lÃ\xadder,write Latin,0.4125375747680664,http://data.europa.eu/esco/skill/37624859-cbb6-43cb-a523-aa450877821a
175,Data At Rest,manage data,0.47941654920578003,http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f
176,food,food storage,0.6371095180511475,http://data.europa.eu/esco/skill/b4b3b539-81ae-43aa-a540-0e2ea2c7e802
177,Understand how climate change risk exposure affects corporate decisions and value,climate change impact,0.5762082934379578,http://data.europa.eu/esco/skill/1565b401-1754-4b07-8f1a-eb5869e64d95
178,Asset Accounting,accounting,0.7805366516113281,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b
179,Intercultural Competence,demonstrate intercultural competence,0.9475327730178833,http://data.europa.eu/esco/skill/c10d5d87-36cf-42f5-8a12-e560fb5f4af8
180,-\tDifferentiate alternative approaches to social policy problems,government policy implementation,0.6266370415687561,http://data.europa.eu/esco/skill/2be699a7-416a-4f32-967c-4edc65027b71
181,Hacer una aproximaciÃ³n diagnÃ³stica basada en la mejor evidencia disponible,interact verbally in Portuguese,0.4359670579433441,http://data.europa.eu/esco/skill/befd434f-bb74-4144-8aa6-28b903b792a0
182,AnÃ¡lisis de cultura empresarial,represent the company,0.41707223653793335,http://data.europa.eu/esco/skill/43268a87-8280-4e3f-bf97-97dc973d60ef
183,Operations Management,operations department processes,0.7621460556983948,http://data.europa.eu/esco/skill/4df04290-0084-499a-b52c-a43ff074e198
